Name,QUAI 2 expedition:   u17 Ther Air,QUAI 2 expedition:   U77 Ther Air B,SAS 3 huile:   u17 Ther Air,SAS 2 frais:   u17 Ther Air,SAS 1 stockage:   u17 Ther Air,CF NEG Evap 1 et 2:   u09 S5 Temperature,CF NEG Evap 1 et 2:   U82 EEV OD % B,CF NEG Evap 1 et 2:   u23 EEV OD %,CF NEG Evap 1 et 2:   u75 S5 Temperature B,CF NEG Evap 1 et 2:   u17 Ther Air,QUAI 1 reception:   u17 Ther Air,CF POSITIVE:   u17 Ther Air,DGS combles negative:   Gas Level ppm,DGS combles negative:   Gas Level %,DGS 2 combles milieu:   Gas Level ppm,DGS 3 combles quai 2:   Gas Level ppm,GAS COOLER:   Q06 Fan running,GAS COOLER:   P15 % fan for digita,GAS COOLER:   SD4 Mode expert,GAS COOLER:   A07 S4_Exch_AirOutle,GAS COOLER:   S02 % ventilation ma,GAS COOLER:   CF8 Sonde Sc4 T air,GAS COOLER:   Se2 Vitesse Min,GAS COOLER:   A03 Sc3_Outside_Temp,GAS COOLER:   ON  On/Off,GAS COOLER:   A05 External_Referen,GAS COOLER:   S07 Temp exterieure,GAS COOLER:   S06 Temp exterieure,AKPC ROUBY:   Pc,AKPC ROUBY:   Sgc,AKPC ROUBY:   Prec,AKPC ROUBY:   Condenser speed 1,AKPC ROUBY:   Cond. ctrl.,AKPC ROUBY:   Control sensor,AKPC ROUBY:   Trec,AKPC ROUBY:   Superheat MT,AKPC ROUBY:   Suction temp. To-LT,AKPC ROUBY:   Pc,AKPC ROUBY:   Po-MT,AKPC ROUBY:   Tc,AKPC ROUBY:   Po-BT,AKPC ROUBY:   Tc-LT,AKPC ROUBY:   Ss-BT,AKPC ROUBY:   Cond. control status,AKPC ROUBY:   Pgc,AKPC ROUBY:   Cond. temp.,AKPC ROUBY:   V3tw,AKPC ROUBY:   Tw pump speed,AKPC ROUBY:   Sd-MT,AKPC ROUBY:   Liq inj suc line IT,AKPC ROUBY:   Tw pump running,AKPC ROUBY:   Shp,AKPC ROUBY:   Stw8,AKPC ROUBY:   Suction temp. To-MT,AKPC ROUBY:   Heat reclaim state
Units,degc,degc,degc,degc,degc,degc,%,%,degc,degc,degc,degc,,%,,,,%,,,%,,%,,,,degc,degc,Bar,degc,Bar,%,degc,,degc,degc,degc,Bar,Bar,degc,Bar,degc,degc,,Bar,degc,,%,degc,,,degc,degc,degc,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sample Rate,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min
 17:07:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.28,51,21,-19.78,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.94,-8.17,0
 17:08:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.39,50,21,-20.11,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.89,-8.17,0
 17:09:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.39,50,21,-20.11,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.89,-8.17,0
 17:10:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.50,50,21,-20.22,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.83,-8.17,0
 17:11:00  18/12/2023,12.11,12.39,10.39,0.78,8.89,-20.50,50,21,-20.22,-20.22,11.78,1.39,561,2.80,485,594,0,3.00,0,3276.70,95.00,0,7.00,34.20,0,15.70,15.00,35.00,61.71,23.06,38.52,0.00,22.28,0,5.17,30.11,-27.06,64.69,27.20,26.28,14.39,-6.61,-12.11,5,63.87,21.94,0,0.00,94.33,0,0,24.44,42.83,-8.17,0
 17:12:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.39,49,21,-20.11,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.83,-4.61,0
 17:13:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.39,49,21,-20.11,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.83,-4.61,0
 17:14:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.50,49,21,-20.22,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.78,-4.61,0
 17:15:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.50,49,21,-20.22,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.78,-4.61,0
 17:16:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.50,50,21,-19.78,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.83,-4.61,0
 17:17:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.50,50,21,-19.78,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.83,-4.61,0
 17:18:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.39,49,21,-20.11,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.78,-4.61,0
 17:19:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.39,49,21,-20.11,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.78,-4.61,0
 17:20:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.50,50,21,-20.22,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.72,-4.61,0
 17:21:00  18/12/2023,12.11,12.39,10.39,1.50,8.78,-20.50,50,21,-20.22,-20.11,11.78,2.00,576,2.80,501,610,1,3.00,0,3276.70,95.00,0,7.00,34.00,0,0.30,15.00,35.00,63.63,21.67,38.11,17.10,22.22,0,5.28,15.50,-27.22,59.94,27.52,22.89,14.22,-5.67,-12.00,11,58.99,22.72,0,0.00,91.00,0,0,23.17,42.72,-4.61,0
