Name,QUAI 2 expedition:   u17 Ther Air,QUAI 2 expedition:   U77 Ther Air B,SAS 3 huile:   u17 Ther Air,SAS 2 frais:   u17 Ther Air,SAS 1 stockage:   u17 Ther Air,CF NEG Evap 1 et 2:   u09 S5 Temperature,CF NEG Evap 1 et 2:   U82 EEV OD % B,CF NEG Evap 1 et 2:   u23 EEV OD %,CF NEG Evap 1 et 2:   u75 S5 Temperature B,CF NEG Evap 1 et 2:   u17 Ther Air,QUAI 1 reception:   u17 Ther Air,CF POSITIVE:   u17 Ther Air,DGS combles negative:   Gas Level ppm,DGS combles negative:   Gas Level %,DGS 2 combles milieu:   Gas Level ppm,DGS 3 combles quai 2:   Gas Level ppm,GAS COOLER:   Q06 Fan running,GAS COOLER:   P15 % fan for digita,GAS COOLER:   SD4 Mode expert,GAS COOLER:   A07 S4_Exch_AirOutle,GAS COOLER:   S02 % ventilation ma,GAS COOLER:   CF8 Sonde Sc4 T air,GAS COOLER:   Se2 Vitesse Min,GAS COOLER:   A03 Sc3_Outside_Temp,GAS COOLER:   ON  On/Off,GAS COOLER:   A05 External_Referen,GAS COOLER:   S07 Temp exterieure,GAS COOLER:   S06 Temp exterieure,AKPC ROUBY:   Pc,AKPC ROUBY:   Sgc,AKPC ROUBY:   Prec,AKPC ROUBY:   Condenser speed 1,AKPC ROUBY:   Cond. ctrl.,AKPC ROUBY:   Control sensor,AKPC ROUBY:   Trec,AKPC ROUBY:   Superheat MT,AKPC ROUBY:   Suction temp. To-LT,AKPC ROUBY:   Pc,AKPC ROUBY:   Po-MT,AKPC ROUBY:   Tc,AKPC ROUBY:   Po-BT,AKPC ROUBY:   Tc-LT,AKPC ROUBY:   Ss-BT,AKPC ROUBY:   Cond. control status,AKPC ROUBY:   Pgc,AKPC ROUBY:   Cond. temp.,AKPC ROUBY:   V3tw,AKPC ROUBY:   Tw pump speed,AKPC ROUBY:   Sd-MT,AKPC ROUBY:   Liq inj suc line IT,AKPC ROUBY:   Tw pump running,AKPC ROUBY:   Shp,AKPC ROUBY:   Stw8,AKPC ROUBY:   Suction temp. To-MT,AKPC ROUBY:   Heat reclaim state
Units,degc,degc,degc,degc,degc,degc,%,%,degc,degc,degc,degc,,%,,,,%,,,%,,%,,,,degc,degc,Bar,degc,Bar,%,degc,,degc,degc,degc,Bar,Bar,degc,Bar,degc,degc,,Bar,degc,,%,degc,,,degc,degc,degc,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sample Rate,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min,1 min
 19:46:00  18/12/2023,11.78,12.00,10.61,3.11,8.61,-19.78,58,34,-19.61,-19.11,11.11,1.22,660,3.20,516,557,0,3.00,0,3276.70,95.00,0,7.00,27.50,0,2.50,15.00,35.00,62.62,22.22,38.37,4.30,22.56,0,5.17,20.39,-26.22,62.84,29.18,25.11,14.78,-5.22,-12.56,11,61.54,22.22,1,83.20,84.11,0,1,24.00,42.83,-4.89,0
 19:47:00  18/12/2023,11.78,12.00,10.61,3.11,8.61,-19.78,58,34,-19.61,-19.11,11.11,1.22,660,3.20,516,557,0,3.00,0,3276.70,95.00,0,7.00,27.50,0,2.50,15.00,35.00,62.62,22.22,38.37,4.30,22.56,0,5.17,20.39,-26.22,62.84,29.18,25.11,14.78,-5.22,-12.56,11,61.54,22.22,1,83.20,84.11,0,1,24.00,42.83,-4.89,0
 19:48:00  18/12/2023,11.78,12.00,10.61,3.11,8.61,-19.89,57,33,-20.61,-19.11,11.11,1.22,660,3.20,516,557,0,3.00,0,3276.70,95.00,0,7.00,27.50,0,2.50,15.00,35.00,62.62,22.22,38.37,4.30,22.56,0,5.17,20.39,-26.22,62.84,29.18,25.11,14.78,-5.22,-12.56,11,61.54,22.22,1,83.20,84.11,0,0,24.00,43.11,-4.89,0
 19:49:00  18/12/2023,11.78,12.00,10.61,3.11,8.61,-19.89,57,33,-20.61,-19.11,11.11,1.22,660,3.20,516,557,0,3.00,0,3276.70,95.00,0,7.00,27.50,0,2.50,15.00,35.00,62.62,22.22,38.37,4.30,22.56,0,5.17,20.39,-26.22,62.84,29.18,25.11,14.78,-5.22,-12.56,11,61.54,22.22,1,83.20,84.11,0,0,24.00,43.11,-4.89,0
 19:50:00  18/12/2023,11.78,12.00,10.61,3.11,8.61,-20.00,56,33,-20.89,-19.11,11.11,1.22,660,3.20,516,557,0,3.00,0,3276.70,95.00,0,7.00,27.50,0,2.50,15.00,35.00,62.62,22.22,38.37,4.30,22.56,0,5.17,20.39,-26.22,62.84,29.18,25.11,14.78,-5.22,-12.56,11,61.54,22.22,1,83.20,84.11,0,0,24.00,43.11,-4.89,0
 19:51:00  18/12/2023,11.78,12.00,10.61,3.11,8.61,-20.00,56,33,-20.89,-19.11,11.11,1.22,660,3.20,516,557,0,3.00,0,3276.70,95.00,0,7.00,27.50,0,2.50,15.00,35.00,62.62,22.22,38.37,4.30,22.56,0,5.17,20.39,-26.22,62.84,29.18,25.11,14.78,-5.22,-12.56,11,61.54,22.22,1,83.20,84.11,0,0,24.00,43.11,-4.89,0
 19:52:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.00,56,33,-20.78,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.11,-4.00,0
 19:53:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.00,56,33,-20.78,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.11,-4.00,0
 19:54:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.11,55,33,-21.00,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.11,-4.00,0
 19:55:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.11,55,33,-21.00,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.11,-4.00,0
 19:56:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.22,55,33,-20.72,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.00,-4.00,0
 19:57:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.22,55,33,-20.72,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.00,-4.00,0
 19:58:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.22,55,33,-21.00,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.06,-4.00,0
 19:59:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.22,55,33,-21.00,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.06,-4.00,0
 20:00:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.28,54,32,-21.11,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.00,-4.00,0
 20:01:00  18/12/2023,11.78,12.00,10.50,3.39,8.61,-20.28,54,32,-21.11,-19.61,11.11,1.78,656,3.20,499,553,1,3.00,0,3276.70,95.00,0,7.00,29.30,0,5.90,15.00,35.00,62.03,22.11,38.66,3.50,22.50,0,5.61,20.72,-26.94,62.97,28.86,25.39,14.37,-5.22,-12.83,11,63.23,22.39,0,0.00,83.06,0,0,23.83,43.00,-4.00,0
 20:02:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.22,54,33,-20.89,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,43.00,-4.83,0
 20:03:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.22,54,33,-20.89,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,43.00,-4.83,0
 20:04:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.28,53,33,-21.00,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.94,-4.83,0
 20:05:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.28,53,33,-21.00,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.94,-4.83,0
 20:06:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.39,54,33,-20.89,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.89,-4.83,0
 20:07:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.39,54,33,-20.89,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.89,-4.83,0
 20:08:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.28,53,33,-20.39,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.83,-4.83,0
 20:09:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.28,53,33,-20.39,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.83,-4.83,0
 20:10:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.39,52,33,-20.50,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.83,-4.83,0
 20:11:00  18/12/2023,11.72,12.00,10.50,3.61,8.61,-20.39,52,33,-20.50,-19.89,11.11,1.61,661,3.20,477,548,1,3.00,0,3276.70,95.00,0,7.00,30.30,0,3.70,15.00,35.00,62.63,22.72,38.04,9.50,22.33,0,4.94,19.50,-26.83,63.90,28.89,25.67,14.40,-5.67,-13.94,11,61.76,22.78,0,0.00,81.56,0,0,23.78,42.83,-4.83,0
 20:12:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.28,53,33,-20.00,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.83,-5.06,0
 20:13:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.28,53,33,-20.00,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.83,-5.06,0
 20:14:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.39,52,33,-20.28,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.78,-5.06,0
 20:15:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.39,52,33,-20.28,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.78,-5.06,0
 20:16:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.50,53,33,-20.39,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.72,-5.06,0
 20:17:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.50,53,33,-20.39,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.72,-5.06,0
 20:18:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.39,53,34,-20.22,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.67,-5.06,0
 20:19:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.39,53,34,-20.22,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.67,-5.06,0
 20:20:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.50,52,34,-20.39,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.67,-5.06,0
 20:21:00  18/12/2023,11.72,12.00,10.39,1.22,8.61,-20.50,52,34,-20.39,-20.11,11.11,1.28,647,3.20,476,543,1,3.00,0,3276.70,95.00,0,7.00,30.60,0,5.90,15.00,35.00,62.98,22.28,38.21,6.80,22.17,0,5.28,19.28,-27.06,63.44,29.19,25.39,14.37,-4.83,-14.11,11,61.94,22.28,0,0.00,80.22,0,0,24.50,42.67,-5.06,0
 20:22:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.39,52,34,-20.11,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.67,-4.39,0
 20:23:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.39,52,34,-20.11,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.67,-4.39,0
 20:24:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.39,52,33,-20.39,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.56,-4.39,0
 20:25:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.39,52,33,-20.39,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.56,-4.39,0
 20:26:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.50,51,33,-20.72,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.56,-4.39,0
 20:27:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.50,51,33,-20.72,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.56,-4.39,0
 20:28:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.39,51,33,-20.72,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.50,-4.39,0
 20:29:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.39,51,33,-20.72,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.50,-4.39,0
 20:30:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.50,50,33,-20.78,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.44,-4.39,0
 20:31:00  18/12/2023,11.72,11.89,10.39,1.28,8.61,-20.50,50,33,-20.78,-20.22,11.00,1.78,654,3.20,471,554,1,3.00,0,3276.70,95.00,0,7.00,28.50,0,5.20,15.00,35.00,62.87,22.22,38.35,7.40,22.17,0,5.44,19.22,-27.28,64.39,29.22,26.00,14.29,-4.83,-13.78,11,61.90,22.28,0,0.00,79.89,0,0,24.39,42.44,-4.39,0
 20:32:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.50,50,33,-20.28,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.39,-4.94,0
 20:33:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.50,50,33,-20.28,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.39,-4.94,0
 20:34:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.50,50,33,-20.28,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.33,-4.94,0
 20:35:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.50,50,33,-20.28,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.33,-4.94,0
 20:36:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.61,50,33,-20.39,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.28,-4.94,0
 20:37:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.61,50,33,-20.39,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.28,-4.94,0
 20:38:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.39,50,33,-20.11,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.22,-4.94,0
 20:39:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.39,50,33,-20.11,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.22,-4.94,0
 20:40:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.50,49,33,-20.39,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.17,-4.94,0
 20:41:00  18/12/2023,11.72,11.89,10.39,1.78,8.50,-20.50,49,33,-20.39,-20.22,11.00,1.39,635,3.10,465,549,0,3.00,0,3276.70,95.00,0,7.00,27.70,0,8.30,15.00,35.00,64.41,22.56,38.04,1.80,22.33,0,5.11,18.94,-27.33,62.94,28.97,25.11,14.26,-5.61,-13.78,11,63.90,22.44,0,0.00,79.28,0,0,23.67,42.17,-4.94,0
 20:42:00  18/12/2023,11.72,11.89,10.39,2.00,8.39,-20.61,49,33,-20.50,-20.22,10.89,1.28,634,3.10,470,548,1,3.00,0,3276.70,95.00,0,7.00,28.80,0,2.50,15.00,35.00,62.17,22.11,38.46,8.20,22.33,0,5.50,19.61,-27.33,61.60,29.28,24.28,14.27,-5.28,-13.89,11,61.34,22.67,0,0.00,80.61,0,0,24.22,42.11,-5.28,0
 20:43:00  18/12/2023,11.72,11.89,10.39,2.00,8.39,-20.61,49,33,-20.50,-20.22,10.89,1.28,634,3.10,470,548,1,3.00,0,3276.70,95.00,0,7.00,28.80,0,2.50,15.00,35.00,62.17,22.11,38.46,8.20,22.33,0,5.50,19.61,-27.33,61.60,29.28,24.28,14.27,-5.28,-13.89,11,61.34,22.67,0,0.00,80.61,0,0,24.22,42.11,-5.28,0
